Page URL,Actor Name,Image URL,,Trademark,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Mukesh Tiwari,"https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY317_CR135,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Manoj Pahwa,"https://m.media-amazon.com/images/M/MV5BMDM4MTY3YzAtYmJlMC00YjdjLTg4YzgtZTJiMzI5NzJjODg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR6,0,214,317_AL__QL50.jpg",,null, 
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Anupam Kher,"https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Deepak Tijori,"https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Danny Denzongpa,"https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY317_CR16,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Irrfan Khan,"https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Guru Dutt,"https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY317_CR104,0,214,317_AL__QL50.jpg",,"Trademark:
     Revolutionized the close-up shot and used it in all of his films.",
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",,"Trademark:
    Kamal Haasan happens to be the one and only Indian actor bagging more than 18 Filmfare awards.  ",
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Annu Kapoor,"https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,null,
